species,order,oCode,set,Stock,phyl,repr,code,Sex,Linf,L0,W0,EggDWg,K,t0,Lm,M,Temp,cycle,litter,aW,bW,s_W,s_Linf,s_L0,s_K,s_t0,s_Lm,s_M,source_GSI,source_F,source_eggD,source_cycle,source_litter
Etmopterus spinax,Squaliformes,8,o,,c,v,3,f,55.84,10.7,,,0.12,,30.86,,15,2,7.59,0.003,3.13,Merella et al 1997,Coelho & Erzini 2008,Coelho & Erzini 2008(L0),Coelho & Erzini 2008,,Coelho & Erzini 2005,,,,,Coelho & Erzini 2008,Coelho & Erzini 2008
Galeorhinus galeus,Charcharhiniformes,6,o,,c,v,3,f,182.9,28,98,,0.124,-1.29,125,,16.5,2,26.6,0.002204482,3.178,Olsen 1954,Moulton etal 1992,Capape et al 2005,Moulton etal 1992,Moulton etal 1992,Lucifora etal 2004,Xiao etal 1998,,,,Capape et al 2005,Capape et al 2005
Galeorhinus galeus,Charcharhiniformes,6,o,,c,v,3,f,161.83,30,,,0.16,-1.2818,136.5,0.1075,16,2,28.4,0.002204482,3.178,Olsen 1954,Grant etal 1979,Olsen 1954(L0),Grant etal 1979,Grant etal 1979,Olsen 1954,Grant etal 1979,,,,Olsen 1954,Olsen 1954
Isurus oxyrinchus,Lamniformes,9,o,,c,v,3,f,396,75.2,,,0.087,,298,0.102,18.8,3,12.5,0.004154856,3.1407,Kohler et al 1995,Natanson etal 2006,Natanson etal 2006(L0),Natanson etal 2006,,Natanson etal 2006,Wood etal 2007,,,,Mollet etal 2000,Mollet etal 2000
Isurus oxyrinchus,Lamniformes,9,o,,c,v,3,f,375,74,2746,,0.05,,278,,23,3,11.8,0.016,2.8767,Chang & Liu 2009,Chang & Liu 2009,Joung & Hsu 2005,Chang & Liu 2009,,Joung & Hsu 2005,,,,,Campana etal 2005,Semba et al 2011
Isurus oxyrinchus,Lamniformes,9,o,,c,v,3,f,325.29,70,2750,,0.076,-3.18,273,,23,3,12.5,0.0167,2.847,Ayers et al 2004,Cerna & Licandeo 2009,Mollet etal 2000,Cerna & Licandeo 2009,Cerna & Licandeo 2009,Mollet etal 2000,,,,,Mollet etal 2000,Mollet etal 2000
Lamna nasus,Lamniformes,9,o,,c,v,3,f,349.9,66.5,,,0.061,-5.9,245.2,0.18,5,1,4,0.0148,2.964,Kohler et al 1995,Natanson etal 2002,Jensen etal 2002(L0),Natanson etal 2002,Natanson etal 2002,Jensen etal 2002,Aasen 1963,,,,Jensen etal 2002,Jensen etal 2002
Mustelus antarcticus,Charcharhiniformes,6,o,,c,v,3,f,201.9,33.5,100,,0.123,-1.55,110.5,0.188,16,2,14.79,0.001489635,3.206,Walker 2007,Moulton et al 1992,Walker 2007(w=100g),Moulton et al 1992,Moulton et al 1992,Walker 2007,Pribac etal 2004,,,,Walker 2007,Walker 2007
Mustelus antarcticus,Charcharhiniformes,6,o,,c,v,3,f,277.8,33,100,,0.047,-4.29,119.2,,16,,,0.001489635,3.206,Walker 2007,Moulton etal 1992,Walker 2007(w=100g),Moulton etal 1992,Moulton etal 1992,Walker 2007,,,,,,
Mustelus antarcticus,Charcharhiniformes,6,o,,c,v,3,f,218.8,33,100,,0.064,-4.99,112.9,,16,1,12.5,0.001489635,3.206,Walker 2007,Moulton etal 1992,Walker 2007(w=100g),Moulton etal 1992,Moulton etal 1992,Walker 2007,,,,,Lenanton et al 1990,Lenanton et al 1990
