Species;Year;Quarter;Species Number;Age;M1;M2;M;F;Z;Stock Numbers;Catch numbers (1000);Mean Stock weight (kg);Catch Mean weight (kg);Yield (tonnes);Proportion Mature;Biomass (tonnes);Spawning Biomasss (tonnes)
Cod;1963;1;15;1;0.05;0.121631;0.2;0.00575395;0.177385;212365;19444.8;0.0519;0.314;6105.68;0.01;11021.8;110.218
Cod;1963;1;15;2;0.05;0.0476947;0.0875;0.172318;0.270013;125467;62593.8;0.576;0.808;50575.8;0.05;72269.1;3613.45
Cod;1963;1;15;3;0.05;0.000214804;0.0625;0.193888;0.244103;25395.6;7063.36;2.657;2.647;18696.7;0.23;67476;15519.5
Cod;1963;1;15;4;0.05;0;0.05;0.161291;0.211291;10635.8;3536.4;4.491;4.491;15881.9;0.62;47765.5;29614.6
Cod;1963;1;15;5;0.05;0;0.05;0.16445;0.21445;7233.56;2788.35;6.794;6.794;18944.1;0.86;49144.8;42264.5
Cod;1963;1;15;6;0.05;0;0.05;0.168028;0.218028;3076.61;1212.94;9.409;9.409;11412.6;1;28947.8;28947.8
Cod;1963;1;15;7;0.05;0;0.05;0.165412;0.215412;436.815;80.986;11.562;11.562;936.36;1;5050.46;5050.46
Cod;1963;1;15;8;0.05;0;0.05;0.165412;0.215412;887.468;491.732;11.942;11.942;5872.26;1;10598.1;10598.1
Cod;1963;1;15;9;0.05;0;0.05;0.165412;0.215412;41.4206;13.5;13.383;13.383;180.67;1;554.332;554.332
Cod;1963;1;15;10;0.05;0;0.05;0.165412;0.215412;12.4262;6.784;13.756;13.901;94.3044;1;170.935;170.935
Cod;1963;2;15;1;0.05;0.104194;0.2;0.0151041;0.169299;177847;0;0.116;0.001;0;0.01;20630.2;206.302
Cod;1963;2;15;2;0.05;0.0643025;0.0875;0.184324;0.298627;95777.8;0;0.682;0.001;0;0.05;65320.5;3266.02
Cod;1963;2;15;3;0.05;0;0.0625;0.188321;0.238321;19895.1;0;3.5192;0.001;0;0.23;70014.8;16103.4
Cod;1963;2;15;4;0.05;0;0.05;0.156659;0.206659;8610.11;0;5.43003;0.001;0;0.62;46753.1;28986.9
Cod;1963;2;15;5;0.05;0;0.05;0.140335;0.190335;5837.38;0;7.31757;0.001;0;0.86;42715.4;36735.3
Cod;1963;2;15;6;0.05;0;0.05;0.143389;0.193389;2473.91;0;9.91825;0.001;0;1;24536.9;24536.9
Cod;1963;2;15;7;0.05;0;0.05;0.141156;0.191156;352.165;0;12.6026;0.001;0;1;4438.18;4438.18
Cod;1963;2;15;8;0.05;0;0.05;0.141156;0.191156;715.484;0;12.2707;0.001;0;1;8779.48;8779.48
Cod;1963;2;15;9;0.05;0;0.05;0.141156;0.191156;33.3937;0;13.7121;0.001;0;1;457.897;457.897
Cod;1963;2;15;10;0.05;0;0.05;0.141156;0.191156;10.0181;0;13.9629;0.001;0;1;139.881;139.881
Cod;1963;3;15;0;0.05;0.7848;0.675;0;0.8348;1711190;0;0.00598;0.001;0;0;10232.9;0
Cod;1963;3;15;1;0.05;0.0590047;0.2;0.0640127;0.173017;150148;0;0.23;0.001;0;0.01;34534.1;345.341
Cod;1963;3;15;2;0.05;0.0333195;0.0875;0.146188;0.229508;71051.5;0;0.829;0.001;0;0.05;58901.7;2945.08
Cod;1963;3;15;3;0.05;0;0.0625;0.111104;0.161104;15676.3;0;4.01189;0.001;0;0.23;62891.7;14465.1
Cod;1963;3;15;4;0.05;0;0.05;0.092425;0.142425;7002.57;0;6.23296;0.001;0;0.62;43646.8;27061
Cod;1963;3;15;5;0.05;0;0.05;0.0792104;0.12921;4825.66;0;8.48938;0.001;0;0.86;40966.8;35231.5
Cod;1963;3;15;6;0.05;0;0.05;0.0809343;0.130934;2038.9;0;10.1729;0.001;0;1;20741.5;20741.5
Cod;1963;3;15;7;0.05;0;0.05;0.0796741;0.129674;290.889;0;13.8744;0.001;0;1;4035.91;4035.91
Cod;1963;3;15;8;0.05;0;0.05;0.0796741;0.129674;590.993;0;12.7089;0.001;0;1;7510.88;7510.88
Cod;1963;3;15;9;0.05;0;0.05;0.0796741;0.129674;27.5833;0;14.0412;0.001;0;1;387.302;387.302
Cod;1963;3;15;10;0.05;0;0.05;0.0796741;0.129674;8.27498;0;14.1697;0.001;0;1;117.254;117.254
Cod;1963;4;15;0;0.05;0.352463;0.675;0;0.402463;742589;0;0.0225;0.001;0;0;16708.2;0
Cod;1963;4;15;1;0.05;0.121507;0.2;0.179811;0.351317;126293;0;0.377;0.001;0;0.01;47612.6;476.126
Cod;1963;4;15;2;0.05;0.0455678;0.0875;0.0882778;0.183846;56480.6;0;1.12;0.001;0;0.05;63258.3;3162.91
Cod;1963;4;15;3;0.05;0;0.0625;0.0605144;0.110514;13343.7;0;4.66295;0.001;0;0.23;62221.1;14310.9
Cod;1963;4;15;4;0.05;0;0.05;0.0503404;0.10034;6073;0;6.85898;0.001;0;0.62;41654.6;25825.8
Cod;1963;4;15;5;0.05;0;0.05;0.041866;0.091866;4240.73;0;9.38694;0.001;0;0.86;39807.5;34234.5
Cod;1963;4;15;6;0.05;0;0.05;0.0427771;0.0927771;1788.68;0;10.573;0.001;0;1;18911.7;18911.7
Cod;1963;4;15;7;0.05;0;0.05;0.0421111;0.0921111;255.512;0;14.0029;0.001;0;1;3577.9;3577.9
Cod;1963;4;15;8;0.05;0;0.05;0.0421111;0.0921111;519.117;0;13.0376;0.001;0;1;6768.04;6768.04
Cod;1963;4;15;9;0.05;0;0.05;0.0421111;0.0921111;24.2286;0;14.2606;0.001;0;1;345.514;345.514
Cod;1963;4;15;10;0.05;0;0.05;0.0421111;0.0921111;7.26859;0;14.48;0.001;0;1;105.249;105.249
Cod;1964;1;15;1;0.05;0.153113;0.2;0.00591279;0.209026;496548;13118.2;0.0519;0.357;4683.21;0.01;25770.8;257.708
Cod;1964;1;15;2;0.05;0.0421914;0.0875;0.177075;0.269267;88880.2;28684.9;0.576;0.762;21857.9;0.05;51195;2559.75
Cod;1964;1;15;3;0.05;0.00160853;0.0625;0.19924;0.250849;46995.5;20220;2.377;2.367;47860.6;0.23;111708;25692.9
Cod;1964;1;15;4;0.05;0;0.05;0.165743;0.215743;11947.6;4306.38;4.528;4.528;19499.3;0.62;54098.8;33541.3
Cod;1964;1;15;5;0.05;0;0.05;0.168989;0.218989;5493.21;1917.28;6.447;6.447;12360.7;0.86;35414.7;30456.6
Cod;1964;1;15;6;0.05;0;0.05;0.172667;0.222667;3868.51;1817.73;8.52;8.52;15487;1;32959.7;32959.7
Cod;1964;1;15;7;0.05;0;0.05;0.169978;0.219978;1630.2;599.291;10.606;10.606;6356.08;1;17289.9;17289.9
Cod;1964;1;15;8;0.05;0;0.05;0.169978;0.219978;233.028;117.555;10.758;10.758;1264.66;1;2506.91;2506.91
Cod;1964;1;15;9;0.05;0;0.05;0.169978;0.219978;473.437;93.625;12.34;12.34;1155.33;1;5842.21;5842.21
Cod;1964;1;15;10;0.05;0;0.05;0.169978;0.219978;28.7256;19.056;12.54;14.012;267.013;1;360.219;360.219
Cod;1964;2;15;1;0.05;0.131448;0.2;0.0155211;0.196969;402886;0;0.116;0.001;0;0.01;46734.8;467.348
Cod;1964;2;15;2;0.05;0.0418037;0.0875;0.189412;0.281216;67899.1;0;0.682;0.001;0;0.05;46307.2;2315.36
Cod;1964;2;15;3;0.05;0;0.0625;0.193519;0.243519;36569.1;0;3.14834;0.001;0;0.23;115132;26480.4
Cod;1964;2;15;4;0.05;0;0.05;0.160984;0.210984;9629.09;0;5.47476;0.001;0;0.62;52717;32684.5
Cod;1964;2;15;5;0.05;0;0.05;0.144209;0.194209;4412.86;0;6.94383;0.001;0;0.86;30642.2;26352.3
Cod;1964;2;15;6;0.05;0;0.05;0.147347;0.197347;3096.29;0;8.98113;0.001;0;1;27808.2;27808.2
Cod;1964;2;15;7;0.05;0;0.05;0.145053;0.195053;1308.29;0;11.5605;0.001;0;1;15124.6;15124.6
Cod;1964;2;15;8;0.05;0;0.05;0.145053;0.195053;187.013;0;11.0541;0.001;0;1;2067.26;2067.26
Cod;1964;2;15;9;0.05;0;0.05;0.145053;0.195053;379.95;0;12.6434;0.001;0;1;4803.88;4803.88
Cod;1964;2;15;10;0.05;0;0.05;0.145053;0.195053;23.0533;0;12.7286;0.001;0;1;293.436;293.436
Cod;1964;3;15;0;0.05;0.777546;0.675;0;0.827546;3045760;0;0.00598;0.001;0;0;18213.7;0
Cod;1964;3;15;1;0.05;0.0773857;0.2;0.0657798;0.193165;330857;0;0.23;0.001;0;0.01;76097;760.97
Cod;1964;3;15;2;0.05;0.03555;0.0875;0.150224;0.235774;51254.7;0;0.829;0.001;0;0.05;42490.1;2124.51
Cod;1964;3;15;3;0.05;0;0.0625;0.114171;0.164171;28665.2;0;3.58911;0.001;0;0.23;102883;23663
Cod;1964;3;15;4;0.05;0;0.05;0.0949764;0.144976;7797.51;0;6.28432;0.001;0;0.62;49002;30381.3
Cod;1964;3;15;5;0.05;0;0.05;0.081397;0.131397;3633.93;0;8.05579;0.001;0;0.86;29274.2;25175.8
Cod;1964;3;15;6;0.05;0;0.05;0.0831685;0.133169;2541.76;0;9.2117;0.001;0;1;23413.9;23413.9
Cod;1964;3;15;7;0.05;0;0.05;0.0818735;0.131874;1076.45;0;12.7272;0.001;0;1;13700.2;13700.2
Cod;1964;3;15;8;0.05;0;0.05;0.0818735;0.131874;153.873;0;11.4489;0.001;0;1;1761.67;1761.67
Cod;1964;3;15;9;0.05;0;0.05;0.0818735;0.131874;312.62;0;12.9469;0.001;0;1;4047.45;4047.45
Cod;1964;3;15;10;0.05;0;0.05;0.0818735;0.131874;18.9681;0;12.9171;0.001;0;1;245.013;245.013
Cod;1964;4;15;0;0.05;0.660791;0.675;0;0.710791;1331370;0;0.0225;0.001;0;0;29955.8;0
Cod;1964;4;15;1;0.05;0.139386;0.2;0.184775;0.37416;272740;0;0.377;0.001;0;0.01;102823;1028.23
Cod;1964;4;15;2;0.05;0.0469215;0.0875;0.0907147;0.187636;40489.1;0;1.12;0.001;0;0.05;45347.8;2267.39
Cod;1964;4;15;3;0.05;0;0.0625;0.0621849;0.112185;24325.2;0;4.17156;0.001;0;0.23;101474;23339
Cod;1964;4;15;4;0.05;0;0.05;0.0517301;0.10173;6745.18;0;6.91549;0.001;0;0.62;46646.2;28920.7
Cod;1964;4;15;5;0.05;0;0.05;0.0430217;0.0930217;3186.48;0;8.90751;0.001;0;0.86;28383.6;24409.9
Cod;1964;4;15;6;0.05;0;0.05;0.043958;0.093958;2224.85;0;9.57402;0.001;0;1;21300.7;21300.7
Cod;1964;4;15;7;0.05;0;0.05;0.0432735;0.0932735;943.457;0;12.845;0.001;0;1;12118.7;12118.7
Cod;1964;4;15;8;0.05;0;0.05;0.0432735;0.0932735;134.862;0;11.745;0.001;0;1;1583.95;1583.95
Cod;1964;4;15;9;0.05;0;0.05;0.0432735;0.0932735;273.996;0;13.1492;0.001;0;1;3602.82;3602.82
Cod;1964;4;15;10;0.05;0;0.05;0.0432735;0.0932735;16.6246;0;13.2;0.001;0;1;219.445;219.445
Cod;1965;1;15;1;0.05;0.258317;0.2;0.00644227;0.314759;654041;114228;0.0519;0.313;35753.3;0.01;33944.7;339.447
Cod;1965;1;15;2;0.05;0.0645439;0.0875;0.192932;0.307476;187609;58520.5;0.576;0.9;52668.4;0.05;108063;5403.13
Cod;1965;1;15;3;0.05;0.0105431;0.0625;0.217082;0.277625;33562.1;17735.4;2.304;2.295;40702.6;0.23;77327.1;17785.2
Cod;1965;1;15;4;0.05;0;0.05;0.180585;0.230585;21743.8;9181.57;4.512;4.512;41427.2;0.62;98107.8;60826.9
Cod;1965;1;15;5;0.05;0;0.05;0.184122;0.234122;6092.74;2387.07;7.274;7.274;17363.6;0.86;44318.6;38114
Cod;1965;1;15;6;0.05;0;0.05;0.188129;0.238129;2903.44;950.478;9.498;9.498;9027.64;1;27576.8;27576.8
Cod;1965;1;15;7;0.05;0;0.05;0.1852;0.2352;2025.32;657.912;11.898;11.898;7827.84;1;24097.3;24097.3
Cod;1965;1;15;8;0.05;0;0.05;0.1852;0.2352;859.437;298.056;12.041;12.041;3588.89;1;10348.5;10348.5
Cod;1965;1;15;9;0.05;0;0.05;0.1852;0.2352;122.852;51.02;13.053;13.053;665.964;1;1603.58;1603.58
Cod;1965;1;15;10;0.05;0;0.05;0.1852;0.2352;264.739;90.922;14.441;14.545;1322.46;1;3823.1;3823.1
Cod;1965;2;15;1;0.05;0.206723;0.2;0.016911;0.273634;477427;0;0.116;0.001;0;0.01;55381.5;553.815
Cod;1965;2;15;2;0.05;0.0651195;0.0875;0.206374;0.321493;137949;0;0.682;0.001;0;0.05;94081.1;4704.06
Cod;1965;2;15;3;0.05;0;0.0625;0.210849;0.260849;25426;0;3.05166;0.001;0;0.23;77591.4;17846
Cod;1965;2;15;4;0.05;0;0.05;0.1754;0.2254;17266;0;5.45542;0.001;0;0.62;94193.5;58399.9
Cod;1965;2;15;5;0.05;0;0.05;0.157122;0.207122;4820.98;0;7.83456;0.001;0;0.86;37770.2;32482.4
Cod;1965;2;15;6;0.05;0;0.05;0.160542;0.210542;2288.2;0;10.0121;0.001;0;1;22909.6;22909.6
Cod;1965;2;15;7;0.05;0;0.05;0.158042;0.208042;1600.84;0;12.9688;0.001;0;1;20761;20761
Cod;1965;2;15;8;0.05;0;0.05;0.158042;0.208042;679.31;0;12.3724;0.001;0;1;8404.7;8404.7
Cod;1965;2;15;9;0.05;0;0.05;0.158042;0.208042;97.1036;0;13.374;0.001;0;1;1298.66;1298.66
Cod;1965;2;15;10;0.05;0;0.05;0.158042;0.208042;209.253;0;14.6582;0.001;0;1;3067.27;3067.27
Cod;1965;3;15;0;0.05;0.82553;0.675;0;0.87553;5703960;0;0.00598;0.001;0;0;34109.7;0
Cod;1965;3;15;1;0.05;0.0908272;0.2;0.0716702;0.212497;363136;0;0.23;0.001;0;0.01;83521.2;835.212
Cod;1965;3;15;2;0.05;0.0547735;0.0875;0.163676;0.268449;100022;0;0.829;0.001;0;0.05;82918.2;4145.91
Cod;1965;3;15;3;0.05;0;0.0625;0.124395;0.174395;19588.1;0;3.47889;0.001;0;0.23;68144.9;15673.3
Cod;1965;3;15;4;0.05;0;0.05;0.103481;0.153481;13781.7;0;6.26211;0.001;0;0.62;86302.5;53507.6
Cod;1965;3;15;5;0.05;0;0.05;0.088686;0.138686;3919.07;0;9.08916;0.001;0;0.86;35621.1;30634.1
Cod;1965;3;15;6;0.05;0;0.05;0.0906161;0.140616;1853.78;0;10.2691;0.001;0;1;19036.6;19036.6
Cod;1965;3;15;7;0.05;0;0.05;0.0892052;0.139205;1300.16;0;14.2776;0.001;0;1;18563.2;18563.2
Cod;1965;3;15;8;0.05;0;0.05;0.0892052;0.139205;551.717;0;12.8143;0.001;0;1;7069.85;7069.85
Cod;1965;3;15;9;0.05;0;0.05;0.0892052;0.139205;78.8649;0;13.695;0.001;0;1;1080.05;1080.05
Cod;1965;3;15;10;0.05;0;0.05;0.0892052;0.139205;169.95;0;14.8753;0.001;0;1;2528.06;2528.06
Cod;1965;4;15;0;0.05;0.636556;0.675;0;0.686556;2376510;0;0.0225;0.001;0;0;53471.4;0
Cod;1965;4;15;1;0.05;0.162582;0.2;0.201321;0.413903;293618;0;0.377;0.001;0;0.01;110694;1106.94
Cod;1965;4;15;2;0.05;0.0761596;0.0875;0.0988381;0.224998;76473.2;0;1.12;0.001;0;0.05;85650;4282.5
Cod;1965;4;15;3;0.05;0;0.0625;0.0677535;0.117753;16453.3;0;4.04344;0.001;0;0.23;66528.1;15301.5
Cod;1965;4;15;4;0.05;0;0.05;0.0563624;0.106362;11820.8;0;6.89105;0.001;0;0.62;81457.7;50503.8
Cod;1965;4;15;5;0.05;0;0.05;0.0468742;0.0968742;3411.55;0;10.0501;0.001;0;0.86;34286.6;29486.5
Cod;1965;4;15;6;0.05;0;0.05;0.0478944;0.0978944;1610.6;0;10.673;0.001;0;1;17190;17190
Cod;1965;4;15;7;0.05;0;0.05;0.0471486;0.0971486;1131.2;0;14.4098;0.001;0;1;16300.4;16300.4
Cod;1965;4;15;8;0.05;0;0.05;0.0471486;0.0971486;480.021;0;13.1457;0.001;0;1;6310.2;6310.2
Cod;1965;4;15;9;0.05;0;0.05;0.0471486;0.0971486;68.6164;0;13.9089;0.001;0;1;954.381;954.381
Cod;1965;4;15;10;0.05;0;0.05;0.0471486;0.0971486;147.865;0;15.2011;0.001;0;1;2247.7;2247.7
Cod;1966;1;15;1;0.05;0.335432;0.2;0.00650036;0.391932;1196110;127146;0.0519;0.314;39923.7;0.01;62078.2;620.782
Cod;1966;1;15;2;0.05;0.0857081;0.0875;0.194672;0.33038;194101;84752.2;0.576;0.836;70852.9;0.05;111802;5590.1
Cod;1966;1;15;3;0.05;0.0030052;0.0625;0.21904;0.272045;61065.2;29916;2.442;2.437;72905.2;0.23;149121;34297.9
Cod;1966;1;15;4;0.05;0;0.05;0.182214;0.232214;14625.6;6184.36;4.169;4.169;25782.6;0.62;60974.2;37804
Cod;1966;1;15;5;0.05;0;0.05;0.185782;0.235782;10628.1;3378.85;7.027;7.027;23743.2;0.86;74683.4;64227.7
Cod;1966;1;15;6;0.05;0;0.05;0.189826;0.239826;3096.57;1278.17;9.599;9.599;12269.1;1;29723.9;29723.9
Cod;1966;1;15;7;0.05;0;0.05;0.18687;0.23687;1460.41;476.964;11.766;11.766;5611.96;1;17183.1;17183.1
Cod;1966;1;15;8;0.05;0;0.05;0.18687;0.23687;1026.48;369.755;11.968;11.968;4425.23;1;12284.9;12284.9
Cod;1966;1;15;9;0.05;0;0.05;0.18687;0.23687;435.581;125.937;14.059;14.06;1770.67;1;6123.84;6123.84
Cod;1966;1;15;10;0.05;0;0.05;0.18687;0.23687;196.44;218.865;14.746;14.967;3275.75;1;2896.7;2896.7
Cod;1966;2;15;1;0.05;0.272252;0.2;0.0170635;0.339316;808272;0;0.116;0.001;0;0.01;93759.5;937.595
Cod;1966;2;15;2;0.05;0.0799142;0.0875;0.208235;0.338149;139491;0;0.682;0.001;0;0.05;95132.6;4756.63
Cod;1966;2;15;3;0.05;0;0.0625;0.21275;0.26275;46520.7;0;3.23444;0.001;0;0.23;150468;34607.7
Cod;1966;2;15;4;0.05;0;0.05;0.176982;0.226982;11594.8;0;5.0407;0.001;0;0.62;58446.1;36236.6
Cod;1966;2;15;5;0.05;0;0.05;0.158539;0.208539;8395.67;0;7.56853;0.001;0;0.86;63542.8;54646.8
Cod;1966;2;15;6;0.05;0;0.05;0.16199;0.21199;2436.27;0;10.1185;0.001;0;1;24651.5;24651.5
Cod;1966;2;15;7;0.05;0;0.05;0.159467;0.209467;1152.4;0;12.8249;0.001;0;1;14779.4;14779.4
Cod;1966;2;15;8;0.05;0;0.05;0.159467;0.209467;809.988;0;12.2974;0.001;0;1;9960.74;9960.74
Cod;1966;2;15;9;0.05;0;0.05;0.159467;0.209467;343.715;0;14.4047;0.001;0;1;4951.11;4951.11
Cod;1966;2;15;10;0.05;0;0.05;0.159467;0.209467;155.009;0;14.9677;0.001;0;1;2320.14;2320.14
Cod;1966;3;15;0;0.05;0.739712;0.675;0;0.789712;4320640;0;0.00598;0.001;0;0;25837.4;0
Cod;1966;3;15;1;0.05;0.129533;0.2;0.0723166;0.25185;575697;0;0.23;0.001;0;0.01;132410;1324.1
Cod;1966;3;15;2;0.05;0.0598414;0.0875;0.165152;0.274993;99469.2;0;0.829;0.001;0;0.05;82459.9;4123
Cod;1966;3;15;3;0.05;0;0.0625;0.125517;0.175517;35771.4;0;3.68726;0.001;0;0.23;131898;30336.6
Cod;1966;3;15;4;0.05;0;0.05;0.104415;0.154415;9240.34;0;5.78607;0.001;0;0.62;53465.2;33148.5
Cod;1966;3;15;5;0.05;0;0.05;0.0894858;0.139486;6815.34;0;8.78053;0.001;0;0.86;59842.3;51464.4
Cod;1966;3;15;6;0.05;0;0.05;0.0914333;0.141433;1970.88;0;10.3783;0.001;0;1;20454.4;20454.4
Cod;1966;3;15;7;0.05;0;0.05;0.0900096;0.14001;934.612;0;14.1192;0.001;0;1;13196;13196
Cod;1966;3;15;8;0.05;0;0.05;0.0900096;0.14001;656.913;0;12.7366;0.001;0;1;8366.83;8366.83
Cod;1966;3;15;9;0.05;0;0.05;0.0900096;0.14001;278.758;0;14.7504;0.001;0;1;4111.8;4111.8
Cod;1966;3;15;10;0.05;0;0.05;0.0900096;0.14001;125.715;0;15.1895;0.001;0;1;1909.55;1909.55
Cod;1966;4;15;0;0.05;0.598327;0.675;0;0.648327;1961470;0;0.0225;0.001;0;0;44133;0
Cod;1966;4;15;1;0.05;0.206552;0.2;0.203136;0.459689;447525;0;0.377;0.001;0;0.01;168717;1687.17
Cod;1966;4;15;2;0.05;0.0773519;0.0875;0.0997294;0.227081;75554.5;0;1.12;0.001;0;0.05;84621.1;4231.05
Cod;1966;4;15;3;0.05;0;0.0625;0.0683645;0.118364;30013;0;4.28563;0.001;0;0.23;128625;29583.6
Cod;1966;4;15;4;0.05;0;0.05;0.0568707;0.106871;7918.2;0;6.3672;0.001;0;0.62;50416.8;31258.4
Cod;1966;4;15;5;0.05;0;0.05;0.0472969;0.0972969;5928.02;0;9.70886;0.001;0;0.86;57554.3;49496.7
Cod;1966;4;15;6;0.05;0;0.05;0.0483263;0.0983263;1710.94;0;10.7865;0.001;0;1;18455.1;18455.1
Cod;1966;4;15;7;0.05;0;0.05;0.0475738;0.0975738;812.505;0;14.2499;0.001;0;1;11578.1;11578.1
Cod;1966;4;15;8;0.05;0;0.05;0.0475738;0.0975738;571.087;0;13.066;0.001;0;1;7461.82;7461.82
Cod;1966;4;15;9;0.05;0;0.05;0.0475738;0.0975738;242.338;0;14.9809;0.001;0;1;3630.45;3630.45
Cod;1966;4;15;10;0.05;0;0.05;0.0475738;0.0975738;109.29;0;15.5221;0.001;0;1;1696.42;1696.42
Cod;1967;1;15;1;0.05;0.369541;0.2;0.00707043;0.426611;1025690;61269.7;0.0519;0.326;19973.9;0.01;53233.3;532.333
Cod;1967;1;15;2;0.05;0.114642;0.0875;0.211744;0.376386;282603;95756;0.576;0.868;83116.2;0.05;162779;8138.97
Cod;1967;1;15;3;0.05;0.0134344;0.0625;0.238249;0.301683;60206.1;32853.8;2.404;2.395;78684.8;0.23;144735;33289.1
Cod;1967;1;15;4;0.05;0;0.05;0.198194;0.248194;26662.7;11261;3.153;3.153;35506;0.62;84067.5;52121.9
Cod;1967;1;15;5;0.05;0;0.05;0.202075;0.252075;7115.63;3271.03;6.803;6.803;22252.8;0.86;48407.6;41630.6
Cod;1967;1;15;6;0.05;0;0.05;0.206473;0.256473;5378.41;1973.59;9.61;9.61;18966.2;1;51686.6;51686.6
Cod;1967;1;15;7;0.05;0;0.05;0.203258;0.253258;1550.72;888.041;12.033;12.033;10685.8;1;18659.8;18659.8
Cod;1967;1;15;8;0.05;0;0.05;0.203258;0.253258;736.971;355.194;12.481;12.481;4433.18;1;9198.13;9198.13
Cod;1967;1;15;9;0.05;0;0.05;0.203258;0.253258;517.996;137.502;13.589;13.589;1868.51;1;7039.05;7039.05
Cod;1967;1;15;10;0.05;0;0.05;0.203258;0.253258;318.94;73.737;14.271;15.403;1135.77;1;4551.59;4551.59
Cod;1967;2;15;1;0.05;0.308547;0.2;0.0185599;0.377107;669485;0;0.116;0.001;0;0.01;77660.3;776.603
Cod;1967;2;15;2;0.05;0.104831;0.0875;0.226497;0.381327;193961;0;0.682;0.001;0;0.05;132282;6614.08
Cod;1967;2;15;3;0.05;0;0.0625;0.231408;0.281408;44526.7;0;3.18411;0.001;0;0.23;141778;32608.9
Cod;1967;2;15;4;0.05;0;0.05;0.192503;0.242503;20802.5;0;3.81226;0.001;0;0.62;79304.6;49168.8
Cod;1967;2;15;5;0.05;0;0.05;0.172443;0.222443;5530.17;0;7.32727;0.001;0;0.86;40521;34848.1
Cod;1967;2;15;6;0.05;0;0.05;0.176196;0.226196;4161.69;0;10.1301;0.001;0;1;42158.4;42158.4
Cod;1967;2;15;7;0.05;0;0.05;0.173452;0.223452;1203.77;0;13.116;0.001;0;1;15788.7;15788.7
Cod;1967;2;15;8;0.05;0;0.05;0.173452;0.223452;572.087;0;12.8245;0.001;0;1;7336.73;7336.73
Cod;1967;2;15;9;0.05;0;0.05;0.173452;0.223452;402.104;0;13.9232;0.001;0;1;5598.55;5598.55
Cod;1967;2;15;10;0.05;0;0.05;0.173452;0.223452;247.582;0;14.4856;0.001;0;1;3586.38;3586.38
Cod;1967;3;15;0;0.05;0.534015;0.675;0;0.584015;834590;0;0.00598;0.001;0;0;4990.85;0
Cod;1967;3;15;1;0.05;0.109181;0.2;0.0786586;0.237839;459161;0;0.23;0.001;0;0.01;105607;1056.07
Cod;1967;3;15;2;0.05;0.059264;0.0875;0.179635;0.288899;132467;0;0.829;0.001;0;0.05;109815;5490.74
Cod;1967;3;15;3;0.05;0;0.0625;0.136525;0.186525;33605.2;0;3.62988;0.001;0;0.23;121983;28056.1
Cod;1967;3;15;4;0.05;0;0.05;0.113572;0.163572;16322.9;0;4.37598;0.001;0;0.62;71428.8;44285.8
Cod;1967;3;15;5;0.05;0;0.05;0.0973335;0.147333;4427.24;0;8.50063;0.001;0;0.86;37634.3;32365.5
Cod;1967;3;15;6;0.05;0;0.05;0.0994518;0.149452;3319.2;0;10.3902;0.001;0;1;34487.2;34487.2
Cod;1967;3;15;7;0.05;0;0.05;0.0979033;0.147903;962.721;0;14.4396;0.001;0;1;13901.3;13901.3
Cod;1967;3;15;8;0.05;0;0.05;0.0979033;0.147903;457.528;0;13.2825;0.001;0;1;6077.13;6077.13
Cod;1967;3;15;9;0.05;0;0.05;0.0979033;0.147903;321.584;0;14.2573;0.001;0;1;4584.92;4584.92
Cod;1967;3;15;10;0.05;0;0.05;0.0979033;0.147903;198.005;0;14.7002;0.001;0;1;2910.71;2910.71
Cod;1967;4;15;0;0.05;0.298327;0.675;0;0.348327;465413;0;0.0225;0.001;0;0;10471.8;0
Cod;1967;4;15;1;0.05;0.152096;0.2;0.220951;0.423047;361970;0;0.377;0.001;0;0.01;136463;1364.63
Cod;1967;4;15;2;0.05;0.0270121;0.0875;0.108475;0.185488;99229.1;0;1.12;0.001;0;0.05;111137;5556.83
Cod;1967;4;15;3;0.05;0;0.0625;0.0743599;0.12436;27886.9;0;4.21894;0.001;0;0.23;117653;27060.2
Cod;1967;4;15;4;0.05;0;0.05;0.0618581;0.111858;13859.9;0;4.81549;0.001;0;0.62;66742.1;41380.1
Cod;1967;4;15;5;0.05;0;0.05;0.0514448;0.101445;3820.73;0;9.39937;0.001;0;0.86;35912.5;30884.7
Cod;1967;4;15;6;0.05;0;0.05;0.0525644;0.102564;2858.43;0;10.7989;0.001;0;1;30867.8;30867.8
Cod;1967;4;15;7;0.05;0;0.05;0.0517459;0.101746;830.361;0;14.5733;0.001;0;1;12101.1;12101.1
Cod;1967;4;15;8;0.05;0;0.05;0.0517459;0.101746;394.625;0;13.626;0.001;0;1;5377.17;5377.17
Cod;1967;4;15;9;0.05;0;0.05;0.0517459;0.101746;277.371;0;14.4801;0.001;0;1;4016.35;4016.35
Cod;1967;4;15;10;0.05;0;0.05;0.0517459;0.101746;170.782;0;15.0221;0.001;0;1;2565.51;2565.51
Cod;1968;1;15;1;0.05;0.169815;0.2;0.00793608;0.227751;328520;37100.9;0.0519;0.328;12169.1;0.01;17050.2;170.502
Cod;1968;1;15;2;0.05;0.0583365;0.0875;0.237668;0.346005;237108;106909;0.576;0.847;90552.1;0.05;136574;6828.71
Cod;1968;1;15;3;0.05;0.00102759;0.0625;0.267419;0.318446;82429.5;42783.9;2.223;2.215;94766.4;0.23;183241;42145.4
