Group;Species;Temp;Body mass;Respiration;Respiratio 15 C;Spec Resp 15C ;Source;Source;;;
Cyclopoida;Oithona similis;6.630769231;5.50E-04;1.80E-03;4.27E-03;7.77E+00;5;Castellani etb al. 2005;;;
Cyclopoida;Oithona similis;8.4;5.50E-04;1.25E-03;2.47E-03;4.50E+00;5;Castellani etb al. 2005;;;
Cyclopoida;Oithona similis;10.42153846;5.50E-04;1.93E-03;3.09E-03;5.62E+00;5;Castellani etb al. 2005;;;
Cyclopoida;Oithona similis;15.10769231;5.50E-04;4.37E-03;4.32E-03;7.85E+00;5;Castellani etb al. 2005;;;
Cyclopoida;Oithona similis;18.29230769;5.50E-04;5.44E-03;3.88E-03;7.05E+00;5;Castellani etb al. 2005;;;
Cyclopoida;Oithona similis;20.4;5.50E-04;7.17E-03;4.11E-03;7.48E+00;5;Castellani etb al. 2005;;;
Cyclopoida;Oithona similis;24.92307692;5.50E-04;8.06E-03;2.90E-03;5.28E+00;5;Castellani etb al. 2005;;;
Cyclopoida;Oithona davisae NI;20;2.83E-05;7.00E-04;4.18E-04;1.48E+01;2;Almeda et al. 2011;;;
Cyclopoida;Oithona davisae NII;20;3.47E-05;7.70E-04;4.60E-04;1.33E+01;2;Almeda et al. 2011;;;
Cyclopoida;Oithona davisae NIII;20;4.29E-05;9.40E-04;5.62E-04;1.31E+01;2;Almeda et al. 2011;;;
Cyclopoida;Oithona davisae NIV;20;6.84E-05;1.30E-03;7.77E-04;1.14E+01;2;Almeda et al. 2011;;;
Cyclopoida;Oithona davisae CI;20;1.76E-04;2.80E-03;1.67E-03;9.51E+00;2;Almeda et al. 2011;;;
Cyclopoida;Oithona davisae NIII;16;5.48E-05;5.10E-04;4.60E-04;8.40E+00;2;Almeda et al. 2011;;;
Cyclopoida;Oithona davisae NIII;19.3;5.48E-05;9.50E-04;6.10E-04;1.11E+01;2;Almeda et al. 2011;;;
Cyclopoida;Oithona davisae NIII;24.5;5.48E-05;1.37E-03;5.15E-04;9.40E+00;2;Almeda et al. 2011;;;
Cyclopoida;Oithona davisae NIII;28;5.48E-05;1.64E-03;4.30E-04;7.85E+00;2;Almeda et al. 2011;;;
Cyclopoida;Oithona davisae NII;20;4.69E-05;9.70E-04;5.80E-04;1.24E+01;2;Almeda et al. 2011;;;
Cyclopoida;Oithona davisae NII;20;4.69E-05;2.23E-03;1.33E-03;2.84E+01;2;Almeda et al. 2011;;;
Poecilostomatoida;Oncaea parila;3;1.20E-03;8.41E-04;2.89E-03;2.40E+00;19;Nishine & Ikeda 2008;;;
Poecilostomatoida;Triconia borealis ;3;9.69E-04;9.75E-04;3.35E-03;3.46E+00;19;Nishine & Ikeda 2008;;;
Poecilostomatoida;Oncaea grossa male;3;1.38E-03;8.36E-04;2.87E-03;2.08E+00;19;Nishine & Ikeda 2008;;;
Poecilostomatoida;Oncaea grossa female;3;2.01E-03;1.14E-03;3.93E-03;1.96E+00;19;Nishine & Ikeda 2008;;;
Poecilostomatoida;Triconia canadensis male;3;7.80E-03;3.09E-03;1.06E-02;1.36E+00;19;Nishine & Ikeda 2008;;;
Poecilostomatoida;Triconia canadensis female;3;1.78E-02;7.28E-03;2.50E-02;1.41E+00;19;Nishine & Ikeda 2008;;;
Poecilostomatoida;Oncaea sp;17.8;1.97E-03;2.61E-02;1.96E-02;9.94E+00;18;Mayzaud et al. 2005;;;
;;;;;;;;;;;
