14.5,20.7,0.53,0.67,27
26.9,29.3,0.45,0.4,15
26.7,30.5,0.4,0.13,15
15.5,17,0.7,0.43,15
41.5,42.6,0.13,0.04,8
53.7,56.8,0.09,0.04,8
33.5,38.3,0.09,0.07,8
29,30.1,0.11,0.15,12
34.5,37.5,0.08,0.15,12
15.7,17.1,0.54,0.44,12
48,48.6,0.19,0.07,8
50.7,52.8,0.14,0.04,8
54.2,62.1,0.1,0.11,8
36.5,39.3,0.17,0.1,8
42.5,44.5,0.13,0.12,8
31.3,34.9,0.1,0.07,8
18.5,23.8,0.3,0.68,17
18.7,28.1,0.6,0.24,27.5
9,16.5,0.35,1.71,17
77.4,124.7,0.23,0.19,25
25,166.4,0.25,6.2,25
35,166.4,0.25,3.6,25
45,166.4,0.25,1.4,25
55,166.4,0.25,0.68,25
65,166.4,0.25,0.44,25
75,166.4,0.25,0.69,25
85,166.4,0.25,1.8,25
95,166.4,0.25,2.1,25
32.5,181.7,0.25,5.22,25
50.5,181.7,0.25,0.8,25
98,181.7,0.25,1.31,25
95.1,186.9,0.14,0.24,26
30,181.7,0.25,4.2,25
50,181.7,0.25,0.5,25
70,181.7,0.25,0.8,25
90,181.7,0.25,0.1,25
110,181.7,0.25,0.9,25
42,181.7,0.25,2.12,25
63,181.7,0.25,1.35,25
102,181.7,0.25,0.66,25
50.4,51.1,0.25,0.18,12
35.8,38.5,0.23,0.18,12
14,19.3,0.59,1.6,9
14,19,0.44,1.6,9
18.6,21.5,0.45,1.48,8.5
19.5,21.6,0.53,1.5,9
23,26.4,0.61,2.43,9
