Order;Scientific name;Type;FBRP;M;K;Amax;L∞;Habitat;Reference
Perciformes;Seriolella brama;Fproxy;0.417;0.45;0.224;15;61;benthopelagic;17
Perciformes;Seriolella caerulea;Fproxy;0.317;0.25;0.29;12;67;bathy;17
Perciformes;Sillago bassensis;Fproxy;0.808;0.6;0.274;10;31.8;demersal;17
Perciformes;Terapon theraps;Fproxy;0.828;1.76;0.61;6.6;34;reef;27
Perciformes;Thunnus alalunga;Fproxy;0.36;0.212;0.173;10;136.9;pelagic;22
Perciformes;Thunnus obesus;Fproxy;0.26;0.389;0.24;11;203.1;pelagic;22
Perciformes;Trachurus Japonicus;Fproxy;0.33;0.48;0.348;6;48.8;pelagic;36
Perciformes;Trachurus symmetricus;Fproxy;0.25;0.15;0.327;30;65.1;pelagic;22
Perciformes;Upeneus tragula;Fproxy;1.041;1.85;1.039;3.1;18.2;reef;27
Perciformes;Upenus sulphureus;Fproxy;1.058;1.88;0.23;12.4; ;benthopelagic;27
Perciformes;Xiphias gladius;Fproxy;0.2;0.26;0.172;10;271.5;pelagic;31
Perciformes ;Stenotomus chrysops;Fproxy;0.26;0.289;0.223;19;38;demersal;22
Pleuronectiformes;Lepidorhombus whiffiagonis;Fproxy;0.153;0.2;0.1;22;82.6;bathy;9
Pleuronectiformes;Lepidorhombus whiffiagonis;Fproxy;0.139;0.2;0.1;22;82.6;bathy;9
Pleuronectiformes;Pleuronectes platessa;Fproxy;0.095;0.12;0.147;25;55.4;demersal;9
Pleuronectiformes;Pleuronectes platessa;Fproxy;0.117;0.1;0.147;25;55.4;demersal;9
Pleuronectiformes;Pleuronectes platessa;Fproxy;0.105;0.12;0.147;25;55.4;demersal;9
Pleuronectiformes;Pleuronectes platessa;Fproxy;0.133;0.1;0.147;25;55.4;demersal;9
Pleuronectiformes;Pleuronectes platessa;Fproxy;0.16;0.1;0.147;25;55.4;demersal;9
Pleuronectiformes;Pleuronectes platessa;Fproxy;0.1;0.12;0.147;25;55.4;demersal;9
Pleuronectiformes;Psettodes erumei;Fproxy;0.344;0.73;0.445;5.1;53;demersal;27
Pleuronectiformes ;Glyptocephalus cynoglossus;Fproxy;0.23;0.3;0.245;25;40.4;demersal;22
Pleuronectiformes ;Hippoglossoides platessoides;Fproxy;0.17;0.315;0.119;30;66;demersal;22
Pleuronectiformes ;Hippoglossus hippoglossus;Fproxy;0.06;0.2;0.084;30;209.2;demersal;22
Pleuronectiformes ;Lepidorhombus boscii;Fproxy;0.273;0.2;0.211;20.3;34.6;demersal;9
Pleuronectiformes ;Paralichthys dentatus;Fproxy;0.28;0.55;0.805;13;139.5;demersal;22
Pleuronectiformes ;Solea solea;Fproxy;0.176;0.1;0.35;8;37.3;demersal;9
Pleuronectiformes ;Solea solea;Fproxy;0.133;0.1;0.35;8;37.3;demersal;9
Pleuronectiformes ;Solea solea;Fproxy;0.132;0.1;0.35;8;37.3;demersal;9
Pleuronectiformes ;Solea solea;Fproxy;0.101;0.1;0.35;8;37.3;demersal;9
Pleuronectiformes ;Solea solea;Fproxy;0.146;0.1;0.35;8;37.3;demersal;9
Scorpaeniformes;Helicolenus percoides;Fproxy;0.08;0.1;0.111;42;43.9;demersal;17
Scorpaeniformes;Platycephalus richardsoni;Fproxy;0.144;0.2;0.24;9.5;60.9;demersal;17
Scorpaeniformes;Sebastes marinus;Fproxy;0.04;0.12;0.09;62;49.2;pelagic;22
Siluriformes;Arius thalassinus;Fproxy;0.395;0.84;0.294;19;75.8;demersal;27
Tetraodontiformes;Balistes capriscus;Fproxy;0.8;1.39;0.398;6.6;44.5;reef;22
Tetraodontiformes;Balistes capriscus;Fproxy;0.27;0.18;0.398;6.6;44.5;reef;22
Zeiformes;Zenopsis nebulosus;Fproxy;0.218;0.3;0.22;45;72;bathy;17
Zeiformes;Zeus faber;Fproxy;0.319;0.36;0.322;12;52.7;benthopelagic;17
Gadiformes;Pollachius virens;F0.5r;0.245;0.2;0.136;10;122.2;demersal;10
Gadiformes;Pollachius virens;F0.5r;0.205;0.2;0.136;10;122.2;demersal;10
Gadiformes;Pollachius virens;F0.5r;0.17;0.2;0.136;10;122.2;demersal;10
Clupeiformes ;Sardina pilchardus;F0.5r;0.27;0.33;0.417;14;20.3;pelagic;10
Pleuronectiformes;Reinhardtius hippoglossoides;F0.5r;0.22;0.15;0.076;22;119.6;benthopelagic;10
Perciformes;Ammodytoidei spp;F0.5r;0.468;0.9;0.6;7;20; ;10
Gadiformes;Merlangius merlangus;F0.5r;0.167;0.2;0.359;20;46;benthopelagic;10
Gadiformes;Merlangius merlangus;F0.5r;0.29;0.2;0.359;20;46;benthopelagic;10
Gadiformes;Merlangius merlangus;F0.5r;1.021;0.575;0.359;20;46;benthopelagic;10
Gadiformes;Merluccius capensis;F0.5r;0.208;0.18;0.1; ;110; ;26
Gadiformes;Merluccius paradoxus;F0.5r;0.208;0.21;0.1; ; ; ;26
