Order;Scientific name;Type;FBRP;M;K;Amax;L∞;Habitat;Reference
Squaliformes;Squalus acanthias;F0.5r;0.012;0.094;0.078;75;110.8;benthopelagic;8
Squaliformes;Squalus acanthias;F0.5r;0.02;0.065;0.078;75;110.8;benthopelagic;30
Squaliformes;Squalus acanthias;F0.5r;0.041;0.091;0.078;75;110.8;benthopelagic;30
Carcharhiniformes;Carcharhinus plumbeus;F0.5r;0.034;0.15;0.062;35;204;demersal;30
Carcharhiniformes;Carcharhinus plumbeus;F0.5r;0.011;0.15;0.062;35;204;demersal;6
Carcharhiniformes;Carcharhinus plumbeus;F0.5r;0.009;0.105;0.062;35;204;demersal;8
Carcharhiniformes;Triakis semifasciata;F0.5r;0.034;0.14;0.081;30;155;demersal;8
Carcharhiniformes;Triakis semifasciata;F0.5r;0.008;0.15;0.081;30;155;demersal;6
Carcharhiniformes;Triakis semifasciata;F0.5r;0.039;0.15;0.081;30;155;demersal;30
Squatiniformes;Squatina californica;F0.5r;0.009;0.15;0.156;35;126;demersal;6
Squatiniformes;Squatina californica;F0.5r;0.028;0.15;0.156;35;126;demersal;8
Squatiniformes;Squatina californica;F0.5r;0.046;0.129;0.156;35;126;demersal;30
Carcharhiniformes;Rhizoprionodon taylori;F0.5r;0.082;0.63;1.175;10;69.1;pelagic;29
Carcharhiniformes;Rhizoprionodon taylori;F0.5r;0.035;0.63;1.175;10;69.1;pelagic;6
Hexanchiformes ;Notorynchus cepedianus;F0.5r;0.032;0.14;0.25;49;202;demersal;30
Carcharhiniformes;Galeorhinus galeus;F0.5r;0.037;0.113;0.124;55;171.7;benthopelagic;6
Carcharhiniformes;Galeorhinus galeus;F0.5r;0.055;0.1075;0.124;55;171.7;benthopelagic;35
Carcharhiniformes;Galeorhinus galeus;F0.5r;0.039;0.113;0.124;55;171.7;benthopelagic;30
Carcharhiniformes;Mustelus californicus;F0.5r;0.062;0.368;0.284;9.5;122;demersal;6
Carcharhiniformes;Mustelus californicus;F0.5r;0.169;0.368;0.284;9.5;122;demersal;30
Carcharhiniformes;Mustelus henlei;F0.5r;0.076;0.295;0.255;9.5;91.8;demersal;6
Carcharhiniformes;Mustelus henlei;F0.5r;0.157;0.295;0.255;9.5;91.8;demersal;30
Carcharhiniformes;Carcharhinus amblyrhynchos;F0.5r;0.066;0.247;0.869;17.42;134;reef;30
Carcharhiniformes;Carcharhinus galapagensis;F0.5r;0.059;0.186;0.541;17.42;230;reef;30
Carcharhiniformes;Carcharhinus leucas;F0.5r;0.033;0.166;0.061;32;290.6;demersal;30
Carcharhiniformes;Galeocerdo cuvier;F0.5r;0.11;0.16;0.248;27.3;367;demersal;6
Carcharhiniformes;Galeocerdo cuvier;F0.5r;0.052;0.16;0.248;27.3;367;demersal;30
